ATT_NAME_TH,ATT_LATITUDE,ATT_LONGITUDE,rating,timestamp
อาคารนิทรรศการเฉลิมพระเกียรติพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว(ตึกถาวรวัตถุ),13.754293,100.4916253,4,2025-05-12T17:19:39.607454
พิพิธภัณฑ์พระบาทสมเด็จพระมงกุฏเกล้าเจ้าอยู่หัว,13.74705983660356,100.49523203950437,3,2025-05-12T17:19:58.824257
สวนสิรินธราพฤกษาพรรณ (สวนเฉลิมพระเกียรติฯ 80 พรรษา),13.7464818,100.4666027,1,2025-05-12T17:20:00.507340
พิพิธภัณฑ์และวัฒนธรรมเกษตร,13.8246196,100.5633587,5,2025-05-12T17:20:03.341084
วัดธรรมมงคล,13.702222,100.601667,4,2025-05-12T17:20:04.673687
นาฏยศาลา หุ่นละครเล็ก (โจหลุยส์เธียเตอร์),13.7064755,100.5073377,3,2025-05-12T17:20:05.881965
พระราชวังเดิม (กองทัพเรือ),13.74269762,100.4899193,5,2025-05-12T17:20:07.104509
วัดป่าเชิงเลน,13.7816316,100.4899195,5,2025-05-12T17:20:08.981145
เดอะคอมมอนส์ ทองหล่อ ,13.735036,100.582238,3,2025-05-12T17:20:10.051551
สวนเฉลิมพระเกียรติ 55 พรรษา สมเด็จพระเทพรัตนราชสุดาฯสยามบรมราชกุมารี,13.8546985,100.574374,3,2025-05-12T17:20:11.439350
ตำหนักประถม นนทบุรี,13.7419835,100.5659514,4,2025-05-12T17:46:39.185431
ตลาดกลางคืนสะพานพุทธ ,13.7346875,100.497026,5,2025-05-12T17:46:41.515257
วัดปทีปพลีผล,13.6077845,100.4379853,5,2025-05-12T17:46:42.815192
บางกอก ซี ไลฟ์ โอเชียนเวิลด์,13.7459351,100.5352057,5,2025-05-12T17:46:48.957184
วัดเจษฎาราม,13.55011,100.2912,3,2025-05-12T17:46:52.647298
เรือนทิพย์พิมาน,13.8969092,100.3850368,4,2025-05-12T17:46:53.830071
ตลาดกลางคืนสะพานพุทธ ,13.7346875,100.497026,5,2025-05-12T18:31:48.755426
ระยอง สไมล์ แพลนท์,12.7310691,101.3282755,5,2025-05-12T18:33:31.696388
